Key,Ma,FileName,Size.Mean.Area,Size.Mean.GrayIntensity,ShapeFactor,Size.Mean.DiameterMin,Size.Mean.DiameterMax,Size.Mean.DiameterMean,Size.Mean.Elongation,Size.Mean.Sphericity,Size.Mean.Perimeter,Size.sd.Area,Size.sd.GrayIntensity,Size.sd.ShapeFactor,Size.sd.DiameterMin,Size.sd.DiameterMax,Size.sd.DiameterMean,Size.sd.Elongation,Size.sd.Sphericity,Size.sd.Perimeter,Size.95.Area,Size.95.GrayIntensity,Size.95.ShapeFactor,Size.95.DiameterMin,Size.95.DiameterMax,Size.95.DiameterMean,Size.95.Elongation,Size.95.Sphericity,Size.95.Perimeter,Size.skewness.Area,Size.skewness.GrayIntensity,Size.skewness.ShapeFactor,Size.skewness.DiameterMin,Size.skewness.DiameterMax,Size.skewness.DiameterMean,Size.skewness.Elongation,Size.skewness.Sphericity,Size.skewness.Perimeter,Size.kurtosis.Area,Size.kurtosis.GrayIntensity,Size.kurtosis.ShapeFactor,Size.kurtosis.DiameterMin,Size.kurtosis.DiameterMax,Size.kurtosis.DiameterMean,Size.kurtosis.Elongation,Size.kurtosis.Sphericity,Size.kurtosis.Perimeter,d18O,d13C
925C1H14344,0.010530612244898,"Count and Measure of 925C, 1H-1, 43-44.csv",76949.53354463614,108.3499791546981,0.7936132035070845,240.9273447510388,329.680170680307,289.4545932362217,1.240546563568664,0.665639253011773,1023.012696872912,72143.43492396521,15.58287791080895,0.0471700988490732,92.56883084004723,136.131573605274,114.0538024270412,0.1111031201895156,0.1200392056822374,424.7636901801885,220132.6186308408,132.2299239658187,0.8612904325740923,434.474748487722,606.8576310919008,524.4109608052867,1.428030621309024,0.8923023466171344,1888.621666131365,3.066591937490501,0.1076575486844471,-0.5275058762741929,1.717477120044436,1.801197383564825,1.722267050422957,0.157610208458515,0.4162064959367532,1.783123735362159,16.50297202159661,4.590670121253258,2.972106323831844,6.622183016176756,7.136183237368291,6.566732453040466,2.495551203926667,2.594342508944767,6.974641792272902,4.611163057142857,-0.602954128367347
925C1H16263,0.0151836734693878,"Count and Measure of 925C, 1H-1, 62-63.csv",53337.16143154082,47.92769418892371,0.7518700006798124,204.2101493343513,277.3501307814493,244.2284046187891,1.232097317598195,0.6743492423632664,879.7482376610868,50558.92665417935,6.021798807188661,0.0535652105168227,76.85966925687009,103.0674156073208,89.34731161709517,0.1090072353296741,0.119728498423108,335.2393315779826,149485.1189313343,58.22916417903998,0.832619264295303,357.9043442470212,498.2520465829252,436.1361943983133,1.416504313826994,0.8979488631489373,1591.198321957826,5.01569748309261,1.780162279700376,-0.07524798899086507,2.243720092627301,2.11076885497575,2.208954533194564,0.1891942008061481,0.3906617529929107,2.060796013802185,51.59088816678379,14.46873852525582,2.129948805031081,10.35902367291998,10.0812059358643,10.76156916950374,2.588553308131815,2.562144123350115,9.323218478912091,4.607288618367347,-0.6015091628571428
925C1H16870,0.0166530612244898,"Count and Measure of 925C, 1H-1, 68-70.csv",54735.01590736533,50.55708706656942,0.7635465069986004,208.2446569375566,281.8832942091516,248.4672205053872,1.225476027768596,0.6821775410635308,890.1888692137935,46333.14910431501,6.787328147789426,0.05649129557207497,74.9053045058849,102.071390437955,87.43056773494776,0.1108296870504062,0.1221682382419527,331.3773622841182,142179.066140502,61.21784330548475,0.8500844080259752,352.7824802237228,488.0457700169047,423.271698909899,1.42411214495073,0.9052347336281318,1554.511850795105,3.027101463362841,1.28716077300197,-0.125442181930066,1.955176971030374,1.800938666912244,1.832944917509787,0.2879758650023972,0.2907126517605356,1.820038736666415,14.92459652116985,12.30306592383468,2.21701535891624,8.110180916495755,6.985072054112814,7.086523486819043,2.603814888880931,2.453045529091336,7.015930528733473,4.606074577551021,-0.6010522265306122
925C1H18889,0.0215510204081633,"Count and Measure of 925C, 1H-1, 88-89.csv",70341.11986279575,4591.88008262277,0.7777883538702598,231.4943636066716,316.7962778753081,277.8290554475201,1.240383980343881,0.6655370919705264,989.5475629364558,62169.84197766466,719.6375284073914,0.04787102051717126,89.91539993650501,127.9132607337792,107.3608269149896,0.1106927710420891,0.1184580547969254,401.1639594206636,210262.641832226,5721.94130925508,0.847205272115748,431.64842120682,588.663953471632,514.789552375495,1.42712902798587,0.888662387030769,1862.26571050806,2.387176903921204,0.9808696273393988,-0.4930269271411253,1.520658459366961,1.57467914303479,1.486661417788851,0.2614605041643571,0.374331693506523,1.529741812979292,9.593251903437476,10.95152357714,2.850408317276071,5.276389829721937,5.684370909070387,5.06887451868461,2.758299489882989,2.688186586757312,5.389718909955706,4.602061485714286,-0.5995262281632653
925C1H1103104,0.0251052631578947,"Count and Measure of 925C, 1H-1, 103-104.csv",71066.17360752972,111.2233690099358,0.7856779615802748,233.84100147636,317.87898940584,279.92459733169,1.233324929173022,0.6713053026214107,992.2881595933133,64543.87263576221,16.05427301395062,0.04504390841851375,89.02000282258979,125.7523263184175,105.7899420380286,0.1032856450658544,0.1124053118553687,392.587187472916,203298.3875946703,135.6897384462147,0.8496322867633708,423.659175784075,579.5687300570307,505.8721211218795,1.415145872104963,0.8875934457889192,1818.565956084248,3.104417950813765,0.2748217537878722,-0.6081838001928023,1.812191511108291,1.909917535889684,1.79627359604498,0.256315228287448,0.4024792926485438,1.793803223980236,16.43472625328643,5.36789274331665,3.19742276465779,7.012698090806495,7.903179444310433,6.9037906144621,2.90868956534028,2.879277230597297,6.987913323985121,4.599182626315789,-0.598415362368421
925C1H1108109,0.0262105263157895,"Count and Measure of 925C, 1H-1, 108-109.csv",57037.67194781547,49.29814905630456,0.767609557069176,208.795422641317,285.7550775858793,250.8679400392743,1.239344173756633,0.6658601844379385,898.5461678762304,56467.76835342084,5.779226012662215,0.05191700311274259,82.4908270795984,111.6323840177513,95.38926701403904,0.1072509690837836,0.1161502005789121,360.8402423031589,156852.0518716057,58.65346795687977,0.8427876161950031,374.8385762769647,510.0923345227246,443.6491399240041,1.421990859603304,0.8899053861311917,1632.352279246097,4.921082701770056,0.4049600782578941,-0.3547948532829552,2.510983247012214,2.243478049242876,2.283287832929929,0.1698234094795705,0.4455446538442824,2.21362056956461,47.34611918056814,5.222616608381439,2.397103102778176,13.53865017580348,10.4468590830975,11.01942418916953,2.673103875527116,2.764143470841907,9.995506194279763,4.598292347368421,-0.5980693394736841
925C1H1133135,0.0317368421052632,"Count and Measure of 925C, 1H-1, 133-135.csv",66447.693700564,55.55056429009124,0.7686518621839035,225.0310009803264,308.5054864657183,270.7977353874262,1.239927006923714,0.6642600376277236,970.0379222499446,58404.38466442168,6.835803997734979,0.04695707506816847,88.28611186464882,119.8346270561996,102.1680042213725,0.1036863302884012,0.1121566685439622,382.5807674732667,196582.8722533916,66.61938379580506,0.8360954534988028,431.3809799681511,557.855428360043,497.6128790675336,1.41412581483469,0.8787227871704655,1804.722133678641,2.584050549403099,0.1138310650584686,-0.4436414466556207,1.643291868800942,1.702173806150833,1.629293021415783,0.1578319359347748,0.4650049554457138,1.643690798614281,11.15378956361129,3.306644411214566,2.677265903362406,5.645456541032544,6.259853704118677,5.658881137464209,2.720253736172531,2.888601864518102,5.772717153649499,4.59388435,-0.5963329778947368
925C1H1138140,0.0328421052631579,"Count and Measure of 925C, 1H-1, 138-140.csv",68994.42011475281,56.6201418391231,0.768045270492433,226.7044884088735,312.3390726123194,273.9651845710496,1.246498246312374,0.657541079792568,980.865271510615,63648.18159854544,7.372992430263417,0.04529243004103251,94.05871208307045,127.3168326092185,109.0221956768394,0.105662342340046,0.1115658747184537,404.4987685304491,195253.0758463706,68.4174805152505,0.839347911292806,421.5942971513002,567.5291934096864,494.0425029720918,1.424902555770032,0.8701680674682462,1831.476557806832,2.768008153214079,0.333960055037429,-0.3416478230267591,1.580014808254591,1.621802423377358,1.547522078947732,0.229814332583185,0.3965800810051799,1.587547735042865,13.56427817493446,4.46086171023479,2.717031420560486,5.70996965761265,6.177279284556213,5.683320618256495,2.763487506791615,2.812529483168615,5.91931906980528,4.593011431578947,-0.5959843178947368
925C1H268,0.0368210526315789,"Count and Measure of 925C, 1H-2, 6-8.csv",90332.90797365723,7539.637014054812,0.7930986393166596,261.1850094500805,357.6088377414908,313.5942876132515,1.243047781472509,0.663205289761977,1109.555771012924,81187.1205645261,1147.401450378374,0.04836873889792322,101.9102145472568,145.968562605397,122.9158441164595,0.1124000020245367,0.12044411054699,455.5132768480503,264943.4526250611,9199.092611480364,0.8610550806087699,481.451463676703,658.7890723274425,577.378203591117,1.439458703117249,0.8984868628450484,2055.209782753742,2.554769084565201,-0.6584311407909167,-0.715900193800201,1.485414024164845,1.577689030520834,1.474124766392259,0.2145029438711507,0.4379796047132031,1.52671090804172,11.38295017556123,5.679428471392858,3.379752390822696,5.343387939941361,5.970728161946753,5.277957812358818,2.717516358894602,2.770595069159033,5.558126734770052,4.589889102105263,-0.5947256051578947
925C1H21921,0.0396947368421053,"Count and Measure of 925C, 1H-2, 19-21.csv",65103.97615769765,98.44555825411031,0.781034184788555,218.8742486947428,301.3012666025247,261.9541200490373,1.250020977253672,0.6575306049619799,930.376155363544,67073.67524639788,14.87517919975996,0.05305885220781959,96.675327794604,134.4564912473707,114.7118140239795,0.1203022083637927,0.1236522068929342,428.085999762364,198756.9149264806,121.3286598264172,0.8579338715323562,427.1670471237857,577.8924940447915,498.1234115991344,1.476243803054235,0.8723256461655831,1822.910698432068,2.96092916838675,1.344551250859229,-0.4686241209129636,1.612555909209761,1.735442909907464,1.640259721169956,0.3912162757377935,0.2325745827889326,1.689954040488714,14.61645406705086,10.72144660641358,2.622022035606761,5.956741699491936,6.731040349362138,6.07057581652327,2.64455577793286,2.521966494011746,6.312244426151655,4.587655685789473,-0.5938124264210526
